Region, Date, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%),Area,Year,Month
Andhra Pradesh,5/31/2019,3.65,11999139,43.24,Rural,2019,5
Andhra Pradesh,6/30/2019,3.05,11755881,42.05,Rural,2019,6
Andhra Pradesh,7/31/2019,3.75,12086707,43.5,Rural,2019,7
Andhra Pradesh,8/31/2019,3.32,12285693,43.97,Rural,2019,8
Andhra Pradesh,9/30/2019,5.17,12256762,44.68,Rural,2019,9
Andhra Pradesh,10/31/2019,3.52,12017412,43.01,Rural,2019,10
Andhra Pradesh,11/30/2019,4.12,11397681,41,Rural,2019,11
Andhra Pradesh,12/31/2019,4.38,12528395,45.14,Rural,2019,12
Andhra Pradesh,1/31/2020,4.84,12016676,43.46,Rural,2020,1
Andhra Pradesh,2/29/2020,5.91,11723617,42.83,Rural,2020,2
Andhra Pradesh,3/31/2020,4.06,11359660,40.66,Rural,2020,3
Andhra Pradesh,4/30/2020,16.29,8792827,36.03,Rural,2020,4
Andhra Pradesh,5/31/2020,14.46,9526902,38.16,Rural,2020,5
Andhra Pradesh,6/30/2020,0.85,15572975,53.76,Rural,2020,6
Assam,5/31/2019,4.29,11749334,57.39,Rural,2019,5
Assam,6/30/2019,5.08,8923222,43.87,Rural,2019,6
Assam,7/31/2019,4.26,9911534,48.21,Rural,2019,7
Assam,8/31/2019,5.79,9292039,45.83,Rural,2019,8
Assam,9/30/2019,4.46,11468349,55.67,Rural,2019,9
Assam,10/31/2019,4.65,8395906,40.76,Rural,2019,10
Assam,11/30/2019,4.66,9625362,46.64,Rural,2019,11
Assam,1/31/2020,4.29,11420996,54.9,Rural,2020,1
Assam,2/29/2020,3.26,8462814,40.17,Rural,2020,2
Assam,3/31/2020,3.77,9878742,47.05,Rural,2020,3
Assam,5/31/2020,9.38,9926176,50,Rural,2020,5
Assam,6/30/2020,0,7544937,34.38,Rural,2020,6
Bihar,5/31/2019,9.27,24322330,39.75,Rural,2019,5
Bihar,6/30/2019,10.2,24097712,39.71,Rural,2019,6
Bihar,7/31/2019,13.44,23248875,39.66,Rural,2019,7
Bihar,8/31/2019,11,22260203,36.85,Rural,2019,8
Bihar,9/30/2019,8.87,23905700,38.57,Rural,2019,9
Bihar,10/31/2019,12.47,24053140,40.31,Rural,2019,10
Bihar,11/30/2019,12.4,22445989,37.51,Rural,2019,11
Bihar,12/31/2019,10.16,22914530,37.25,Rural,2019,12
Bihar,1/31/2020,9.13,23409006,37.54,Rural,2020,1
Bihar,2/29/2020,9.61,23168192,37.28,Rural,2020,2
Bihar,3/31/2020,15.39,22667882,38.88,Rural,2020,3
Bihar,4/30/2020,45.09,14645275,38.63,Rural,2020,4
Bihar,5/31/2020,47.26,14050319,38.5,Rural,2020,5
Bihar,6/30/2020,20.49,20622566,37.4,Rural,2020,6
Chhattisgarh,5/31/2019,9.82,6259019,42.89,Rural,2019,5
Chhattisgarh,6/30/2019,6.76,6608626,43.71,Rural,2019,6
Chhattisgarh,7/31/2019,4.54,6753622,43.53,Rural,2019,7
Chhattisgarh,8/31/2019,4.64,6607694,42.55,Rural,2019,8
Chhattisgarh,9/30/2019,8.33,6490776,43.38,Rural,2019,9
